survived,pclass,sex,age,sibsp,parch,fare,embarked,deck,embark_town,family_size,is_alone,age_group,fare_per_person,is_male
0,3,male,22.0,1,0,7.25,S,C,Southampton,2,0,young_adult,3.625,1
1,1,female,38.0,1,0,71.2833,C,C,Cherbourg,2,0,adult,35.64165,0
1,3,female,26.0,0,0,7.925,S,C,Southampton,1,1,young_adult,7.925,0
1,1,female,35.0,1,0,53.1,S,C,Southampton,2,0,young_adult,26.55,0
0,3,male,35.0,0,0,8.05,S,C,Southampton,1,1,young_adult,8.05,1
0,3,male,28.0,0,0,8.4583,Q,C,Queenstown,1,1,young_adult,8.4583,1
0,1,male,54.0,0,0,51.8625,S,E,Southampton,1,1,adult,51.8625,1
0,3,male,2.0,3,1,21.075,S,C,Southampton,5,0,child,4.215,1
1,3,female,27.0,0,2,11.1333,S,C,Southampton,3,0,young_adult,3.7111,0
1,2,female,14.0,1,0,30.0708,C,C,Cherbourg,2,0,teen,15.0354,0
1,3,female,4.0,1,1,16.7,S,G,Southampton,3,0,child,5.566666666666666,0
1,1,female,58.0,0,0,26.55,S,C,Southampton,1,1,adult,26.55,0
0,3,male,20.0,0,0,8.05,S,C,Southampton,1,1,young_adult,8.05,1
0,3,male,39.0,1,5,31.275,S,C,Southampton,7,0,adult,4.4678571428571425,1
0,3,female,14.0,0,0,7.8542,S,C,Southampton,1,1,teen,7.8542,0
1,2,female,55.0,0,0,16.0,S,C,Southampton,1,1,adult,16.0,0
0,3,male,2.0,4,1,29.125,Q,C,Queenstown,6,0,child,4.854166666666667,1
1,2,male,28.0,0,0,13.0,S,C,Southampton,1,1,young_adult,13.0,1
0,3,female,31.0,1,0,18.0,S,C,Southampton,2,0,young_adult,9.0,0
1,3,female,28.0,0,0,7.225,C,C,Cherbourg,1,1,young_adult,7.225,0
0,2,male,35.0,0,0,26.0,S,C,Southampton,1,1,young_adult,26.0,1
1,2,male,34.0,0,0,13.0,S,D,Southampton,1,1,young_adult,13.0,1
1,3,female,15.0,0,0,8.0292,Q,C,Queenstown,1,1,teen,8.0292,0
1,1,male,28.0,0,0,35.5,S,A,Southampton,1,1,young_adult,35.5,1
0,3,female,8.0,3,1,21.075,S,C,Southampton,5,0,child,4.215,0
1,3,female,38.0,1,5,31.3875,S,C,Southampton,7,0,adult,4.483928571428572,0
0,3,male,28.0,0,0,7.225,C,C,Cherbourg,1,1,young_adult,7.225,1
0,1,male,19.0,3,2,263.0,S,C,Southampton,6,0,young_adult,43.833333333333336,1
1,3,female,28.0,0,0,7.8792,Q,C,Queenstown,1,1,young_adult,7.8792,0
0,3,male,28.0,0,0,7.8958,S,C,Southampton,1,1,young_adult,7.8958,1
0,1,male,40.0,0,0,27.7208,C,C,Cherbourg,1,1,adult,27.7208,1
1,1,female,28.0,1,0,146.5208,C,B,Cherbourg,2,0,young_adult,73.2604,0
1,3,female,28.0,0,0,7.75,Q,C,Queenstown,1,1,young_adult,7.75,0
0,2,male,66.0,0,0,10.5,S,C,Southampton,1,1,senior,10.5,1
0,1,male,28.0,1,0,82.1708,C,C,Cherbourg,2,0,young_adult,41.0854,1
0,1,male,42.0,1,0,52.0,S,C,Southampton,2,0,adult,26.0,1
1,3,male,28.0,0,0,7.2292,C,C,Cherbourg,1,1,young_adult,7.2292,1
0,3,male,21.0,0,0,8.05,S,C,Southampton,1,1,young_adult,8.05,1
0,3,female,18.0,2,0,18.0,S,C,Southampton,3,0,teen,6.0,0
1,3,female,14.0,1,0,11.2417,C,C,Cherbourg,2,0,teen,5.62085,0
0,3,female,40.0,1,0,9.475,S,C,Southampton,2,0,adult,4.7375,0
0,2,female,27.0,1,0,21.0,S,C,Southampton,2,0,young_adult,10.5,0
0,3,male,28.0,0,0,7.8958,C,C,Cherbourg,1,1,young_adult,7.8958,1
1,2,female,3.0,1,2,41.5792,C,C,Cherbourg,4,0,child,10.3948,0
1,3,female,19.0,0,0,7.8792,Q,C,Queenstown,1,1,young_adult,7.8792,0
0,3,male,28.0,0,0,8.05,S,C,Southampton,1,1,young_adult,8.05,1
0,3,male,28.0,1,0,15.5,Q,C,Queenstown,2,0,young_adult,7.75,1
1,3,female,28.0,0,0,7.75,Q,C,Queenstown,1,1,young_adult,7.75,0
0,3,male,28.0,2,0,21.6792,C,C,Cherbourg,3,0,young_adult,7.226400000000001,1
0,3,female,18.0,1,0,17.8,S,C,Southampton,2,0,teen,8.9,0
0,3,male,7.0,4,1,39.6875,S,C,Southampton,6,0,child,6.614583333333333,1
0,3,male,21.0,0,0,7.8,S,C,Southampton,1,1,young_adult,7.8,1
1,1,female,49.0,1,0,76.7292,C,D,Cherbourg,2,0,adult,38.3646,0
1,2,female,29.0,1,0,26.0,S,C,Southampton,2,0,young_adult,13.0,0
0,1,male,65.0,0,1,61.9792,C,B,Cherbourg,2,0,senior,30.9896,1
1,1,male,28.0,0,0,35.5,S,C,Southampton,1,1,young_adult,35.5,1
1,2,female,21.0,0,0,10.5,S,C,Southampton,1,1,young_adult,10.5,0
0,3,male,28.5,0,0,7.2292,C,C,Cherbourg,1,1,young_adult,7.2292,1
1,2,female,5.0,1,2,27.75,S,C,Southampton,4,0,child,6.9375,0
0,3,male,11.0,5,2,46.9,S,C,Southampton,8,0,child,5.8625,1
0,3,male,22.0,0,0,7.2292,C,C,Cherbourg,1,1,young_adult,7.2292,1
1,1,female,38.0,0,0,80.0,S,B,Southampton,1,1,adult,80.0,0
0,1,male,45.0,1,0,83.475,S,C,Southampton,2,0,adult,41.7375,1
0,3,male,4.0,3,2,27.9,S,C,Southampton,6,0,child,4.6499999999999995,1
0,1,male,28.0,0,0,27.7208,C,C,Cherbourg,1,1,young_adult,27.7208,1
1,3,male,28.0,1,1,15.2458,C,C,Cherbourg,3,0,young_adult,5.081933333333333,1
1,2,female,29.0,0,0,10.5,S,F,Southampton,1,1,young_adult,10.5,0
0,3,male,19.0,0,0,8.1583,S,C,Southampton,1,1,young_adult,8.1583,1
1,3,female,17.0,4,2,7.925,S,C,Southampton,7,0,teen,1.1321428571428571,0
0,3,male,26.0,2,0,8.6625,S,C,Southampton,3,0,young_adult,2.8874999999999997,1
